Camada,X_mm,Y_mm,Z_mm
0,47.6186938082094,0.0,-5
0,37.94367728685899,15.716785738524957,-5
0,25.96093218665309,25.96093218665309,-5
0,19.47783485901755,47.0236530823036,-5
0,2.5148085492771926e-15,41.06994034570784,-5
0,-11.145289523600509,26.90710912445112,-5
0,-30.583165303807256,30.58316530380726,-5
0,-33.91959252874801,14.049955255576537,-5
0,-43.2511271529425,5.296735442736621e-15,-5
0,-41.97566106764814,-17.386888103796164,-5
0,-31.354824190226303,-31.354824190226296,-5
0,-18.64108310336004,-45.00355564545568,-5
0,-7.544425647831576e-15,-41.06994034570784,-5
0,15.716785738524967,-37.94367728685899,-5
0,27.499999999999993,-27.500000000000007,-5
0,27.905750310175627,-11.558940246671972,-5
1,154.0981829873409,0.0,0
1,145.41505789978592,60.2328891553602,0
1,128.3987928292163,128.3987928292163,0
1,55.184835139822944,133.2279774318839,0
1,9.301168252919972e-15,151.89960500277806,0
1,-63.59855557042706,153.540495405464,0
1,-116.73741902235119,116.7374190223512,0
1,-215.50862008310156,89.26659324673146,0
1,-124.42162191516394,1.523725410231277e-14,0
1,-109.8744490543647,-45.51148695658953,0
1,-81.76337811025181,-81.76337811025178,0
1,-15.716785738524981,-37.943677286858986,0
1,-8.346113940124783e-15,-45.43412814173944,0
1,24.08638829358032,-58.14968528694612,0
1,39.08484360976771,-39.084843609767724,0
1,52.07813126903175,-21.571468274679354,0
2,55.2743159161649,0.0,5
2,57.1373743172983,23.667075360613115,5
2,45.280735418056096,45.280735418056096,5
2,23.2478216617283,56.125206351375475,5
2,3.719833154159467e-15,60.74948559452994,5
2,-23.247821661728292,56.125206351375475,5
2,-43.73105304014528,43.731053040145284,5
2,-8164.694561812948,3381.927220136779,5
2,-8837.40171147606,1.08226957187385e-12,5
2,-29.906595524517133,-12.387717470661498,5
2,-21.358136622842366,-21.35813662284236,5
2,-18.64108310336004,-45.00355564545568,5
2,-1.0354810533171372e-14,-56.368963091403415,5
2,37.52378389233255,-90.59042798442627,5
2,75.5484612682482,-75.54846126824823,5
2,180.96696549207468,-74.95897144832135,5
3,106.84165854197511,0.0,10
3,107.84412976643529,44.6705011715815,10
3,106.63193705452416,106.63193705452416,10
3,45.090989782468306,108.85927907366161,10
3,5.062881529862167e-15,82.68313008105099,10
3,-16.96910857252011,40.9670520571596,10
3,-77.10207519905026,77.10207519905028,10
3,-49.04477825922959,20.315012318554018,10
3,-99.15266007525972,1.2142698778811238e-14,10
3,-89.57577860525782,-37.103502358427505,10
3,-112.85056490775757,-112.85056490775754,10
3,-21.152564936430327,-51.066809148507595,10
3,-4.1657121882412685e-15,-22.677080940897135,10
3,8.67814317048348,-20.950890938396654,10
3,3.8890872965260104,-3.889087296526012,10
3,8164.694561812947,-3381.927220136783,10
4,29.124045048722202,0.0,15
4,28.905620189123255,11.9730999111404,15
4,66.22877018335764,66.22877018335764,15
4,36.26298593570105,87.54659245811428,15
4,7.080349245284509e-15,115.63087822895751,15
4,-19.89637373371585,48.03409530998063,15
4,-79.43264442280642,79.43264442280643,15
4,-98.70882154649048,40.88653261042196,15
4,-147.50257624868794,1.806385578689441e-14,15
4,-204.33295557846188,-84.63748144037805,15
4,-145.50384874634764,-145.50384874634761,15
4,-23.24782166172833,-56.12520635137546,15
4,-4.062797548874554e-14,-221.16839738081933,15
4,91.79162105074366,-221.60457645291686,15
4,146.28138979378065,-146.2813897937807,15
4,205.34891033381368,-85.05830367880239,15
5,121.12493550049884,0.0,20
5,8164.694561812948,3381.927220136777,20
5,6248.986678254324,6248.986678254324,20
5,3381.9272201367785,8164.694561812948,20
5,4.5062137469271624e-14,735.9205527772683,20
5,-237.42613086095506,573.197385186287,20
5,-54.58594141351782,54.58594141351783,20
5,-64.22617544938932,26.603352930490974,20
5,-53.08568545286008,6.5011214770388315e-15,20
5,-28.90562018912326,-11.973099911140398,20
5,-47.6059870184413,-47.60598701844128,20
5,-3.9712511085312143,-9.587448285805229,20
5,-2.259174630339836e-15,-12.298373876248846,20
5,16.134044246696554,-38.951028436302394,20
5,20.593809749533957,-20.593809749533968,20
5,240.90898876859714,-99.78777044554076,20
